Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Organization Description,Investor Names
Non Equity Assistance - Prim-U,https://www.crunchbase.com/funding_round/prim-u-non-equity-assistance--33d3fc80,"Cape Town, NA - South Africa, South Africa, Africa",Prim-U,https://www.crunchbase.com/organization/prim-u,Non-equity Assistance,,,,2021-05-18,Prim-U is a beauty & wellness platform that connects professional service providers and suppliers with customers.,Village Capital
Non Equity Assistance - Eneza Education,https://www.crunchbase.com/funding_round/eneza-education-non-equity-assistance--7644f280,"Nairobi, Nairobi Area, Kenya, Africa",Eneza Education,https://www.crunchbase.com/organization/eneza-education,Non-equity Assistance,,,,2021-05-18,"Eneza Education is working in Kenya, Ghana and Cote d'Ivoire using simple mobile technology, to build an educational ecosystem.",Village Capital
Non Equity Assistance - Wootlab,https://www.crunchbase.com/funding_round/wootlab-non-equity-assistance--f9d31d29,"Abuja, Federal Capital Territory, Nigeria, Africa",Wootlab,https://www.crunchbase.com/organization/wootlab,Non-equity Assistance,,,,2021-05-18,Wootlab is a software development and talent management platform focused on creating employment for the unemployed and underemployed youth.,Village Capital
Non Equity Assistance - Ecomake Innovations,https://www.crunchbase.com/funding_round/ecomake-innovations-non-equity-assistance--d9ab5b20,"Kumasi, Ashanti, Ghana, Africa",Ecomake Innovations,https://www.crunchbase.com/organization/ecomake-innovations,Non-equity Assistance,,,,2021-05-18,Ecomake Innovation provides practical engineering skills training and hands-on STEM skills to students for employment.,Village Capital
Non Equity Assistance - Urbansense,https://www.crunchbase.com/funding_round/urbansense-non-equity-assistance--3570c049,"Johannesburg, NA - South Africa, South Africa, Africa",Urbansense,https://www.crunchbase.com/organization/urbansense,Non-equity Assistance,,,,2021-05-18,"Urbansense is an on demand service app that connects local vetted service providers with customers, regardless of complexity of the job.",Village Capital
Venture Round - Tanda,https://www.crunchbase.com/funding_round/tanda-8649-series-unknown--9e517804,"Nairobi, Nairobi Area, Kenya, Africa",Tanda,https://www.crunchbase.com/organization/tanda-8649,Venture - Series Unknown,,,,2021-02-01,Tanda is a fintech startup working to revolutionize access to essential digital financial services for micro-retilers across Africa.,"DFS Lab, HAVAÍC, Victor Asemota, Zedcrest Capital Limited"
Pre Seed Round - ConDigital,https://www.crunchbase.com/funding_round/condigital-pre-seed--455c877c,"Addis Ababa, Adis Abeba, Ethiopia, Africa",ConDigital,https://www.crunchbase.com/organization/condigital,Pre-Seed,,,,2021-09-20,ConDigital provides cloud project and enterprise management for construction companies in Africa.,
Grant - Kotani Pay,https://www.crunchbase.com/funding_round/kotani-pay-grant--fd311f71,"Nairobi, Nairobi Area, Kenya, Africa",Kotani Pay,https://www.crunchbase.com/organization/kotani-pay,Grant,10000,USD,10000,2021-04-16,"Kotani Pay is a technology stack that enables blockchain protocols, dApps, and blockchain FinTech companies.",Celo Ecosystem Fund
Pre Seed Round - MAYDAY,https://www.crunchbase.com/funding_round/mayday-89a1-pre-seed--7e8afc3e,"Cairo, Al Qahirah, Egypt, Africa",MAYDAY,https://www.crunchbase.com/organization/mayday-89a1,Pre-Seed,28000,USD,28000,2019-01-01,Egyptian start-up based in Cairo providing real-time roadside assistance via location based mobile application to motorists in need.,"Alex Angels, Falak Startups, Vflock Angel Network"
Venture Round - Ampersand,https://www.crunchbase.com/funding_round/ampersand-2-series-unknown--1a3b7017,"Kigali, Butare, Rwanda, Africa",Ampersand,https://www.crunchbase.com/organization/ampersand-2,Venture - Series Unknown,3500000,USD,3500000,2021-04-08,Ampersand is the e-mobility energy provider for millions of motorbike taxis.,Ecosystem Integrity Fund
Pre Seed Round - Capiter,https://www.crunchbase.com/funding_round/capiter-pre-seed--2832707d,"Cairo, Al Qahirah, Egypt, Africa",Capiter,https://www.crunchbase.com/organization/capiter,Pre-Seed,,,,2020-10-14,Capiter is a B2B marketplace that provides a payment method that offers cash flow solutions for small to medium-sized businesses.,"Foundation Ventures, Shorooq Partners"
Seed Round - Vendease,https://www.crunchbase.com/funding_round/vendease-seed--fc98315c,"Lagos, Lagos, Nigeria, Africa",Vendease,https://www.crunchbase.com/organization/vendease,Seed,125000,USD,125000,2021-03-23,"Vendease is a marketplace that lets restaurants in Africa, order directly from farms and food manufacturers.","Holland George Capital Management, Y Combinator"
Pre Seed Round - AION,https://www.crunchbase.com/funding_round/aion-pre-seed--65332f52,"Gîza, Al Jizah, Egypt, Africa",AION,https://www.crunchbase.com/organization/aion,Pre-Seed,51000,USD,51000,2019-09-01,AION specializes in smart hardware and software solutions for smart homes.,Flat6Labs
Pre Seed Round - CuroTrip,https://www.crunchbase.com/funding_round/curotrip-pre-seed--d8746160,"Cairo, Al Qahirah, Egypt, Africa",CuroTrip,https://www.crunchbase.com/organization/curotrip,Pre-Seed,60000,USD,60000,2019-12-02,"CuroTrip is a medical service providing company, specialized in medical tourism facilitator and services.",Flat6Labs
Pre Seed Round - Agrona,https://www.crunchbase.com/funding_round/agrona-pre-seed--29f91ddf,"Cairo, Al Qahirah, Egypt, Africa",Agrona,https://www.crunchbase.com/organization/agrona,Pre-Seed,60000,USD,60000,2019-03-03,Agrona is an innovating company working on green based composites.,Flat6Labs
Venture Round - SWVL Technologies,https://www.crunchbase.com/funding_round/swvl-series-unknown--9059fa78,"Cairo, Al Qahirah, Egypt, Africa",SWVL Technologies,https://www.crunchbase.com/organization/swvl,Venture - Series Unknown,26000000,USD,26000000,2020-05-07,Swvl offers an app that allows customers to book fixed rate rides on buses and vans in their network.,VNV Global
Pre Seed Round - SubsBase,https://www.crunchbase.com/funding_round/subsbase-pre-seed--17d61602,"Cairo, Al Qahirah, Egypt, Africa",SubsBase,https://www.crunchbase.com/organization/subsbase,Pre-Seed,180000,USD,180000,2020-01-17,SubsBase offers comprehensive subscription management and billing solutions that help businesses acquire and retain more customers.,"Arzan Venture Capital, EFG EV Fintech, Falak Startups, Venture MENA, Wamda Capital"
Seed Round - Tenaka,https://www.crunchbase.com/funding_round/tenaka-seed--7c5ade0f,"Randburg, NA - South Africa, South Africa, Africa",Tenaka,https://www.crunchbase.com/organization/tenaka,Seed,,,,2021-01-01,Tenaka is learning the Human Centered Design Approach.,Sustainable Ocean Alliance
Pre Seed Round - AXON,https://www.crunchbase.com/funding_round/axon-fb93-pre-seed--9615dcba,"Cairo, Al Qahirah, Egypt, Africa",AXON,https://www.crunchbase.com/organization/axon-fb93,Pre-Seed,60000,USD,60000,2019-12-02,AXON is a healthcare provider with affordable costs by emerging the high-end technology with the healthcare industry.,Flat6Labs
Pre Seed Round - beXel,https://www.crunchbase.com/funding_round/bexel-pre-seed--26f93c65,"Nasr City, Al Qahirah, Egypt, Africa",beXel,https://www.crunchbase.com/organization/bexel,Pre-Seed,60000,USD,60000,2019-12-09,"Bexel is a software company that helps inspection companies digitize their entire inspection process, go paperless.",Flat6Labs
Angel Round - Kashat,https://www.crunchbase.com/funding_round/kashat-ec8e-angel--eb1ec405,"Cairo, Al Qahirah, Egypt, Africa",Kashat,https://www.crunchbase.com/organization/kashat-ec8e,Angel,,,,2021-04-25,Kashat is the first of its kind mobile app in Egypt designed to help micro businesses owners with small loans and other financial services,Cairo Angels
Pre Seed Round - Cowrie Integrated Systems,https://www.crunchbase.com/funding_round/cowrie-integrated-systems-pre-seed--d28af96d,"Lagos, Lagos, Nigeria, Africa",Cowrie Integrated Systems,https://www.crunchbase.com/organization/cowrie-integrated-systems,Pre-Seed,750000,USD,750000,2021-03-15,Fintech,Stellar Development Foundation
Non Equity Assistance - Pricepally.com,https://www.crunchbase.com/funding_round/pricepally-com-non-equity-assistance--eed9d1bd,"Lagos, Lagos, Nigeria, Africa",Pricepally.com,https://www.crunchbase.com/organization/pricepally-com,Non-equity Assistance,,,,2021-05-17,"Pricepally.com is an online food cooperative, buy food at wholesale or share bulk food items with other shoppers.",MassChallenge Switzerland
Non Equity Assistance - GasApp,https://www.crunchbase.com/funding_round/gasapp-non-equity-assistance--6c0d3677,"Accra, Greater Accra, Ghana, Africa",GasApp,https://www.crunchbase.com/organization/gasapp,Non-equity Assistance,,,,2021-05-17,"GasApp is an online platform for liquid petroleum gas distribution, leakage detector, level monitor, through mobile apps and smart devices.",MassChallenge Switzerland
Venture Round - Setrag,https://www.crunchbase.com/funding_round/setrag-series-unknown--69deadd1,"Libreville, Estuaire, Gabon, Africa",Setrag,https://www.crunchbase.com/organization/setrag,Venture - Series Unknown,30000000,EUR,35469587,2021-09-09,Setrag is a concessionaire which operates the Trans-Gabon Railway that links Franceville to Libreville and the port of Owendo.,
Seed Round - Mono,https://www.crunchbase.com/funding_round/mono-seed--5a9de883,"Lagos, Lagos, Nigeria, Africa",Mono,https://www.crunchbase.com/organization/mono,Seed,125000,USD,125000,2021-02-03,Mono creates an API financial platform that helps companies in collecting and managing bank transfer payments.,Y Combinator
Pre Seed Round - Mogale Meat Company,https://www.crunchbase.com/funding_round/mogale-meat-co-pre-seed--2b01efb6,"Pretoria, NA - South Africa, South Africa, Africa",Mogale Meat Company,https://www.crunchbase.com/organization/mogale-meat-co,Pre-Seed,,,,2021-09-08,"MOGALE develops cell cultivated meat products from southern Africa’s prized wild antelope, poultry and free-roaming livestock.",Cult Food Science
Non Equity Assistance - Mellowvans,https://www.crunchbase.com/funding_round/mellowcabs-0123-non-equity-assistance--6e9b79c2,"Stellenbosch, NA - South Africa, South Africa, Africa",Mellowvans,https://www.crunchbase.com/organization/mellowcabs-0123,Non-equity Assistance,,,,2021-05-17,Mellowvans develops and manufactures light electric cargo vehicles.,MassChallenge Switzerland
Non Equity Assistance - Massira,https://www.crunchbase.com/funding_round/massira-non-equity-assistance--fed49a8d,"Accra, Greater Accra, Ghana, Africa",Massira,https://www.crunchbase.com/organization/massira,Non-equity Assistance,,,,2021-04-12,"Massira is a social support network that support, educate and connect women, specializing in sexual, reproductive and mental health issues.",UNICEF StartUp Lab
Series B - Aerobotics,https://www.crunchbase.com/funding_round/aerobotics-series-b--3b100725,"Cape Town, NA - South Africa, South Africa, Africa",Aerobotics,https://www.crunchbase.com/organization/aerobotics,Series B,253000000,ZAR,16711141,2020-12-11,"Aerobotics is a data analytics company, providing tree and fruit insights enabled by drone imagery and artificial intelligence.","AfricInvest, Cathay Innovation, Endeavor Catalyst, FMO, Naspers Foundry, Platform Investment Partners"
Seed Round - Aqarmap,https://www.crunchbase.com/funding_round/aqarmap-seed--58a2db87,"Nasr City, Al Qahirah, Egypt, Africa",Aqarmap,https://www.crunchbase.com/organization/aqarmap,Seed,1000000,USD,1000000,2018-09-04,Aqarmap is a real estate marketplace that specializes in providing real-estate management services.,"KISP Ventures, Michael Trica, Oakum Bay Capital, Raed Ventures, Wamda Capital"
Private Equity Round - Victoria Brands Limited,https://www.crunchbase.com/funding_round/victoria-brands-limited-private-equity--43dce530,"Livingstone, NA - Zambia, Zambia, Africa",Victoria Brands Limited,https://www.crunchbase.com/organization/victoria-brands-limited,Private Equity,,,,2018-11-12,"Victoria Brands Limited is a leading Zambian manufacturer of packaged food items, including a full range of condiments and sauces.",Two Nine Group
